Day,Time,Location,Type,Link,Session ID,Topic,Area of Interest,Title,Speakers,Abstract
2-Dec,12:00–1:00pm,Mandalay Bay | Lower Level North | Islander G,Breakout session,,DOP203,DevOps & Developer Productivity,Network & Infrastructure Security,Governance and security with infrastructure as code,"Mac Merritt, Sr. SDE, Amazon","In this session, learn how to use AWS CloudFormation and the AWS CDK to deploy cloud applications in regulated environments while enforcing security controls. Find out how to catch issues early with cdk-nag, validate your pipelines with cfn-guard, and protect your accounts from unintended changes with CloudFormation Hooks."
,,,,,,,,,"Eric Beard, Solutions Architect, Amazon Web Services",
,,,,,,,,,"Ishu Gupta, Director , Software Engineering, Capital ONE SERVICES LLC",
2-Dec,4:30–5:30pm,Caesars Forum | Level 1 | Summit 221,Chalk Talk,,KUB402-R,"Kubernetes, DevOps & Developer Productivity",Open Source,"Amazon EKS: Infrastructure as code, GitOps, or CI/CD [REPEAT]","Tsahi Duek, Principal Solutions Architect, Amazon Web Services","Discover various architectures to build and deploy workloads on Amazon EKS with Amazon ECR. When deploying workloads into a cluster, there are different secure software supply chain automation choices, including CI/CD pipelines, IaC tools like Terraform and CDK, and GitOps patterns with Argo CD. Hear how these options differ and fit together from the developer, architect, and operations perspectives, and learn how to choose options depending on team structure and skills. Explore how to adopt, mix, and match DevOps and GitOps based on different design factors, and learn about the design factors for developer, architect, and operations perspectives."
,,,,,,,,,"Roland Barcia, Director: Specialist Technology Team, AWS",
2-Dec,4:30–5:30pm,Caesars Forum | Level 1 | Forum 126,Chalk Talk,,FWM314,DevOps & Developer Productivity,Front-End Web & Mobile,"AWS Amplify: Integrating data sources, authentication & AWS services","Muhammed Salih Guler, Senior Developer Advocate, Amazon Web Services","Expand the capabilities of your full stack applications with the latest updates to AWS Amplify. In this chalk talk, explore how Amplify can seamlessly integrate with a wide range of existing data sources, authentication providers, and AWS infrastructure. Connect your Amplify-powered applications to PostgreSQL or MySQL databases, leveraging Amplify’s data modeling and API generation capabilities. Discover how to authenticate users with any OpenID Connect (OIDC) or SAML provider. Use the AWS CDK to customize Amplify resources, such as Amazon S3 buckets and Amazon DynamoDB tables, and to add custom AWS resources to your project."
,,,,,,,,,"Rene Brandel, Principal Product Manager - Technical, Amazon Web Services, Inc.",
2-Dec,10:30–11:30am,Mandalay Bay | Lower Level North | South Pacific E | Purple,Breakout Session,,DOP201,DevOps & Developer Productivity,,AWS infrastructure as code: A year in review,"Rob Brigham, Head of Product, AWS","AWS provides services that enable the creation, deployment and maintenance of application infrastructure in a programmatic, descriptive, and declarative way. These services provide rigor, clarity, and reliability to application development. Join this session to learn about the new features and improvements for AWS infrastructure as code with AWS CloudFormation and AWS Cloud Development Kit (AWS CDK) and discover how they can benefit your team."
,,,,,,,,,"Nick Siow, Security Software Engineer, Netflix",
,,,,,,,,,"James Hood, Principal Software Engineer, Amazon Web Services",
2-Dec,8:00am–10:00am,Wynn | Upper Convention Promenade | Cristal 1,Workshop,,NTA304-R,"Compute, Kubernetes",,Boost your Kubernetes journey with EKS Blueprints for CDK & Amazon Q [REPEAT],"Camilo Cortes, Sr Solutions Architect, Amazon Web Services","Bootstrapping and operating Kubernetes environments can be complex, from selecting the right open source tools to implementing multi-tenancy and security controls. In this hands-on workshop, learn how to use Amazon EKS Blueprints for CDK, a collection of infrastructure-as-code modules, to rapidly provision and configure an Amazon EKS cluster for a microservices application. Discover how Amazon Q can assist you in writing and modifying the AWS CDK code to streamline infrastructure provisioning. Learn how to deploy and configure a ready-to-use Amazon EKS cluster using continuous deployment automation, allowing you to scale the provisioning and maintenance of Amazon EKS clusters across your organization efficiently. You must bring your laptop to participate."
,,,,,,,,,"Gabriel Montero, Sr Solution Architect, AWS",
2-Dec,1:30–2:30pm,Mandalay Bay | Level 2 South | Mandalay Bay Ballroom L | Content Hub | Orange Screen,Breakout session,,DOP202,DevOps & Developer Productivity,Open Source,Continuous integration and continuous delivery (CI/CD) for AWS,"Steve Rice, General Manager, AWS AppConfig, Amazon","AWS provides one place where you can plan work, collaborate on code, and build, test, and deploy applications with continuous integration and continuous delivery (CI/CD) tools. In this session, learn about creating complete CI/CD pipelines using infrastructure as code on AWS."
,,,,,,,,,"Ranjith Ramakrishnan, Senior Product Manager, Amazon",
2-Dec,10:00–11:30am,Mandalay Bay | Level 2 South | Lagoon L,Interactive Training,,TNC216,DevOps & Developer Productivity,,Deploying a CI/CD pipeline with a managed deployment using AWS CDK,"Scott Friend, Sr. Technical Trainer, AWS","Attend this lab to learn how to deploy an existing containerized application. Create a pipeline to build and test the application. Then, add a deployment stage to the pipeline to automatically deploy code updates to test and production environments."
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2-Dec,3:30–5:30pm,MGM Grand | Level 1 | Grand 115,Workshop,,DOP304-R,DevOps & Developer Productivity,,Develop AWS CDK resources to deploy your applications on AWS [REPEAT],"Om Prakash Jha, SA Team Leader, Amazon Web Services","In this workshop, learn how to build and deploy applications using infrastructure as code with AWS Cloud Development Kit (AWS CDK). Create resources using AWS CDK, and learn maintenance and operations tips. In addition, get an introduction to building your own constructs. You must bring your laptop to participate."
,,,,,,,,,"Alvin Vaughn, Senior Solutions Architect, AWS",
2-Dec,10:30–11:30am,Wynn | Convention Promenade | Latour 5,Chalk Talk,,FWM301-R,"New to AWS, DevOps & Developer Productivity","Front-End Web & Mobile, Generative AI, Startup",Go from idea to AI-powered app in minutes with AWS Amplify [REPEAT],"Erik Hanchett, Senior Developer Advocate, Amazon Web Services","AWS Amplify recently launched a second-generation developer experience featuring full-stack TypeScript capabilities for building production-ready applications on AWS. Generation two is built on top of AWS Cloud Development Kit (AWS CDK), making it possible to add any of the more than 200 AWS services to your Amplify application, including Amazon Bedrock for generative AI use cases. Join this chalk talk to discuss strategies for extending the Amplify full-stack TypeScript capabilities to create the next generation of innovative application experiences using AWS CDK and Amazon Bedrock."
,,,,,,,,,"Chris Womack, Developer Experience Engineer, Amazon Web Services",
2-Dec,12:00–1:00pm,Caesars Forum | Level 1 | Summit 232 | Content Hub | Orange Screen,Breakout session,,ARC328,Architecture,"Global Infrastructure, Cost Optimization",How Amazon.com uses AWS Regions to improve customer experience,"Frank Stone, Principal - Solution Architect, Amazon Web Services","Learn how and why Amazon.com is expanding to more AWS Regions and building services so they can be easily deployed and moved to different regions. In this session discover the benefits of using multiple AWS Regions and Amazon.com’s learnings and best practices for building and managing regionally flexible services. Learn about approaches for decoupling services from specific regions, managing application latency and dependencies, and architecting to leverage the benefits of region diversity, customer proximity, and cost optimization that can be gained from a region flexible deployment."
,,,,,,,,,"Lisa Gutermuth, Principal Engineer, Amazon",
